	#	Name	Type 1	Type 2	Speed	total	Generation	Legendary	HP	Attack	Defense	Sp. Atk	Sp. Def
0	1	Bulbasaur	Grass	Poison	45	144.0	1	False	45	49	49	65	65
1	2	Ivysaur	Grass	Poison	60	186.0	1	False	60	62	63	80	80
2	3	Venusaur	Grass	Poison	80	246.0	1	False	80	82	83	100	100
3	3	VenusaurMega Venusaur	Grass	Poison	80	304.0	1	False	80	100	123	122	120
4	4	Charmander	Fire		65	135.0	1	False	39	52	43	60	50
5	5	Charmeleon	Fire		80	181.0	1	False	58	64	58	80	65
6	6	Charizard	Fire	Flying	100	241.0	1	False	78	84	78	109	85
7	6	CharizardMega Charizard X	Fire	Dragon	100	320.0	1	False	78	130	111	130	85
8	6	CharizardMega Charizard Y	Fire	Flying	100	261.0	1	False	78	104	78	159	115
9	7	Squirtle	Water		43	158.0	1	False	44	48	65	50	64
10	8	Wartortle	Water		58	203.0	1	False	59	63	80	65	80
11	9	Blastoise	Water		78	263.0	1	False	79	83	100	85	105
12	9	BlastoiseMega Blastoise	Water		78	303.0	1	False	79	103	120	135	115
13	10	Caterpie	Bug		45	111.0	1	False	45	30	35	20	20
14	11	Metapod	Bug		30	126.0	1	False	50	20	55	25	25
15	12	Butterfree	Bug	Flying	70	156.0	1	False	60	45	50	90	80
16	13	Weedle	Bug	Poison	50	106.0	1	False	40	35	30	20	20
17	14	Kakuna	Bug	Poison	35	121.0	1	False	45	25	50	25	25
18	15	Beedrill	Bug	Poison	75	196.0	1	False	65	90	40	45	80
19	15	BeedrillMega Beedrill	Bug	Poison	145	256.0	1	False	65	150	40	15	80
20	16	Pidgey	Normal	Flying	56	126.0	1	False	40	45	40	35	35
21	17	Pidgeotto	Normal	Flying	71	179.0	1	False	63	60	55	50	50
22	18	Pidgeot	Normal	Flying	101	239.0	1	False	83	80	75	70	70
23	18	PidgeotMega Pidgeot	Normal	Flying	121	244.0	1	False	83	80	80	135	80
24	19	Rattata	Normal		72	122.0	1	False	30	56	35	25	35
25	20	Raticate	Normal		97	197.0	1	False	55	81	60	50	70
26	21	Spearow	Normal	Flying	70	131.0	1	False	40	60	30	31	31
27	22	Fearow	Normal	Flying	100	221.0	1	False	65	90	65	61	61
28	23	Ekans	Poison		55	140.0	1	False	35	60	44	40	54
29	24	Arbok	Poison		80	215.0	1	False	60	85	69	65	79
30	25	Pikachu	Electric		90	131.0	1	False	35	55	40	50	50
31	26	Raichu	Electric		110	206.0	1	False	60	90	55	90	80
32	27	Sandshrew	Ground		40	211.0	1	False	50	75	85	20	30
33	28	Sandslash	Ground		65	286.0	1	False	75	100	110	45	55
34	29	Nidoran (Female)	Poison		41	155.0	1	False	55	47	52	40	40
35	30	Nidorina	Poison		56	200.0	1	False	70	62	67	55	55
36	31	Nidoqueen	Poison	Ground	76	270.0	1	False	90	92	87	75	85
37	32	Nidoran (Male)	Poison		50	144.0	1	False	46	57	40	40	40
38	33	Nidorino	Poison		65	191.0	1	False	61	72	57	55	55
39	34	Nidoking	Poison	Ground	85	261.0	1	False	81	102	77	85	75
40	35	Clefairy	Fairy		35	164.0	1	False	70	45	48	60	65
41	36	Clefable	Fairy		60	239.0	1	False	95	70	73	95	90
42	37	Vulpix	Fire		65	120.0	1	False	38	41	40	50	65
43	38	Ninetales	Fire		100	225.0	1	False	73	76	75	81	100
44	39	Jigglypuff	Normal	Fairy	20	181.0	1	False	115	45	20	45	25
45	40	Wigglytuff	Normal	Fairy	45	256.0	1	False	140	70	45	85	50
46	41	Zubat	Poison	Flying	55	121.0	1	False	40	45	35	30	40
47	42	Golbat	Poison	Flying	90	226.0	1	False	75	80	70	65	75
48	43	Oddish	Grass	Poison	30	151.0	1	False	45	50	55	75	65
49	44	Gloom	Grass	Poison	40	196.0	1	False	60	65	70	85	75
50	45	Vileplume	Grass	Poison	50	241.0	1	False	75	80	85	110	90
51	46	Paras	Bug	Grass	25	161.0	1	False	35	70	55	45	55
52	47	Parasect	Bug	Grass	30	236.0	1	False	60	95	80	60	80
53	48	Venonat	Bug	Poison	45	166.0	1	False	60	55	50	40	55
54	49	Venomoth	Bug	Poison	90	196.0	1	False	70	65	60	90	75
55	50	Diglett	Ground		95	91.0	1	False	10	55	25	35	45
56	51	Dugtrio	Ground		120	166.0	1	False	35	80	50	50	70
57	52	Meowth	Normal		90	121.0	1	False	40	45	35	40	40
58	53	Persian	Normal		115	196.0	1	False	65	70	60	65	65
59	54	Psyduck	Water		55	151.0	1	False	50	52	48	65	50
60	55	Golduck	Water		85	241.0	1	False	80	82	78	95	80
61	56	Mankey	Fighting		70	156.0	1	False	40	80	35	35	45
62	57	Primeape	Fighting		95	231.0	1	False	65	105	60	60	70
63	58	Growlithe	Fire		60	171.0	1	False	55	70	45	70	50
64	59	Arcanine	Fire		95	281.0	1	False	90	110	80	100	80
65	60	Poliwag	Water		90	131.0	1	False	40	50	40	40	40
66	61	Poliwhirl	Water		90	196.0	1	False	65	65	65	50	50
67	62	Poliwrath	Water	Fighting	70	281.0	1	False	90	95	95	70	90
68	63	Abra	Psychic		90	61.0	1	False	25	20	15	105	55
69	64	Kadabra	Psychic		105	106.0	1	False	40	35	30	120	70
70	65	Alakazam	Psychic		120	151.0	1	False	55	50	45	135	95
71	65	AlakazamMega Alakazam	Psychic		150	171.0	1	False	55	50	65	175	95
72	66	Machop	Fighting		35	201.0	1	False	70	80	50	35	35
73	67	Machoke	Fighting		45	251.0	1	False	80	100	70	50	60
74	68	Machamp	Fighting		55	301.0	1	False	90	130	80	65	85
75	69	Bellsprout	Grass	Poison	40	161.0	1	False	50	75	35	70	30
76	70	Weepinbell	Grass	Poison	55	206.0	1	False	65	90	50	85	45
77	71	Victreebel	Grass	Poison	70	251.0	1	False	80	105	65	100	70
78	72	Tentacool	Water	Poison	70	116.0	1	False	40	40	35	50	100
79	73	Tentacruel	Water	Poison	100	216.0	1	False	80	70	65	80	120
80	74	Geodude	Rock	Ground	20	221.0	1	False	40	80	100	30	30
81	75	Graveler	Rock	Ground	35	266.0	1	False	55	95	115	45	45
82	76	Golem	Rock	Ground	45	331.0	1	False	80	120	130	55	65
83	77	Ponyta	Fire		90	191.0	1	False	50	85	55	65	65
84	78	Rapidash	Fire		105	236.0	1	False	65	100	70	80	80
85	79	Slowpoke	Water	Psychic	15	221.0	1	False	90	65	65	40	40
86	80	Slowbro	Water	Psychic	30	281.0	1	False	95	75	110	100	80
87	80	SlowbroMega Slowbro	Water	Psychic	30	351.0	1	False	95	75	180	130	80
88	81	Magnemite	Electric	Steel	45	131.0	1	False	25	35	70	95	55
89	82	Magneton	Electric	Steel	70	206.0	1	False	50	60	95	120	70
90	83	Farfetch'd	Normal	Flying	60	173.0	1	False	52	65	55	58	62
91	84	Doduo	Normal	Flying	75	166.0	1	False	35	85	45	35	35
92	85	Dodrio	Normal	Flying	100	241.0	1	False	60	110	70	60	60
93	86	Seel	Water		45	166.0	1	False	65	45	55	45	70
94	87	Dewgong	Water	Ice	70	241.0	1	False	90	70	80	70	95
95	88	Grimer	Poison		25	211.0	1	False	80	80	50	40	50
96	89	Muk	Poison		50	286.0	1	False	105	105	75	65	100
97	90	Shellder	Water		40	196.0	1	False	30	65	100	45	25
98	91	Cloyster	Water	Ice	70	326.0	1	False	50	95	180	85	45
99	92	Gastly	Ghost	Poison	80	96.0	1	False	30	35	30	100	35
100	93	Haunter	Ghost	Poison	95	141.0	1	False	45	50	45	115	55
101	94	Gengar	Ghost	Poison	110	186.0	1	False	60	65	60	130	75
102	94	GengarMega Gengar	Ghost	Poison	130	206.0	1	False	60	65	80	170	95
103	95	Onix	Rock	Ground	70	241.0	1	False	35	45	160	30	45
104	96	Drowzee	Psychic		42	154.0	1	False	60	48	45	43	90
105	97	Hypno	Psychic		67	229.0	1	False	85	73	70	73	115
106	98	Krabby	Water		50	226.0	1	False	30	105	90	25	25
107	99	Kingler	Water		75	301.0	1	False	55	130	115	50	50
